"","id","w_retail_and_recreation_percent_change_from_baseline","w_grocery_and_pharmacy_percent_change_from_baseline","w_workplaces_percent_change_from_baseline"
"10165","20200319_CHARLESTON (SC)",-21.1732325036452,7.02719907797451,-26.4966255304904
"10166","20200320_CHARLESTON (SC)",-25.7771535832957,6.52261591033167,-28.4614384855776
"10167","20200321_CHARLESTON (SC)",-33.9617429067617,-2.42538086347777,-19.8970416102196
"10168","20200322_CHARLESTON (SC)",-39.9275219216952,-12.2047238079832,-29.7905402521192
"10169","20200323_CHARLESTON (SC)",-31.8426254810641,-10.1413165823049,-33.6544875726511
"10170","20200324_CHARLESTON (SC)",-33.578239614295,-9.90840966329444,-37.1633461167764
"10171","20200325_CHARLESTON (SC)",-30.3666500414507,-8.86819573720476,-38.6814889453547
"10172","20200326_CHARLESTON (SC)",-33.4538504224827,-13.6673226887018,-39.6105868925899
"10173","20200327_CHARLESTON (SC)",-35.5980438411438,-12.5643440790641,-39.5500980663077
"10174","20200328_CHARLESTON (SC)",-39.6700534927557,-13.0876609444471,-30.0695754054643
"10175","20200329_CHARLESTON (SC)",-39.3241254350078,-16.5641519904203,-36.4875456912608
"10176","20200330_CHARLESTON (SC)",-31.6801465714985,-15.5309049284779,-40.1944420105727
"10177","20200331_CHARLESTON (SC)",-33.0428964271512,-13.647166861002,-42.0709975354241
"10178","20200401_CHARLESTON (SC)",-31.8961575531277,-9.01792378012478,-43.4712518562952
"10179","20200402_CHARLESTON (SC)",-34.3210385368013,-10.6839467813357,-44.0892852729793
"10180","20200403_CHARLESTON (SC)",-34.9080951321817,-7.49017202605216,-43.5041675372439
"10181","20200404_CHARLESTON (SC)",-42.9118739988362,-12.4513330502553,-34.3617107796552
"10182","20200405_CHARLESTON (SC)",-43.7366891556412,-16.6175492634355,-39.5590195166555
"10183","20200406_CHARLESTON (SC)",-34.7963817245637,-11.6968686656881,-43.8315859369539
"10184","20200407_CHARLESTON (SC)",-36.9114151580811,-10.4994874303954,-45.7910975979124
"10185","20200408_CHARLESTON (SC)",-42.2948731390229,-16.4431408867454,-47.6186004519932
"10186","20200409_CHARLESTON (SC)",-39.5455627781273,-14.6312818899839,-48.3437769390275
"10187","20200410_CHARLESTON (SC)",-39.31824165327,-10.8200041937513,-52.7269867896834
"10188","20200411_CHARLESTON (SC)",-43.3156823000396,-9.09007595349596,-37.299883506908
"10189","20200320_COLUMBIA (SC)",-24.303990546413,12.7478517050219,-26.0774157654174
"10190","20200321_COLUMBIA (SC)",-30.2501966471956,4.69856616966357,-16.8790801267739
"10191","20200322_COLUMBIA (SC)",-39.0296498590796,-8.30436357101626,-27.1416368065464
"10192","20200323_COLUMBIA (SC)",-33.2329570413613,-6.55324994282105,-30.7334752823551
"10193","20200324_COLUMBIA (SC)",-38.080958137745,-10.3425954162446,-34.8084868089061
"10194","20200325_COLUMBIA (SC)",-30.8710215246995,-4.33885518658491,-35.0458439069018
"10195","20200326_COLUMBIA (SC)",-29.7640197349075,-2.41127278535928,-34.9893547309685
