"","Group.1","Date","DMA","Total_Cases","Total_Deaths","CaseLagDay-1","NewCasesPerDay","DeathLagDay-1","NewDeathsPerDay","CaseLagDay-2","CaseLagDay-3","CaseLagDay-4","CaseLagDay-5","CaseLagDay-6","CaseLagDay-7","CaseLagDay-8","CaseLagDay-9","CaseLagDay-10","CaseLagDay-11","CaseLagDay-12","CaseLagDay-13","CaseLagDay-14","CaseLagDay+1","CaseLagDay+2","CaseLagDay+3","CaseLagDay+4","CaseLagDay+5","CaseLagDay+6","CaseLagDay+7","CaseLagDay+8","CaseLagDay+9","CaseLagDay+10","CaseLagDay+11","CaseLagDay+12","CaseLagDay+13","CaseLagDay+14"
"107","20200407_ALBANY (NY) - SCHENECTADY (NY) - TROY (NY)",20200407,"ALBANY (NY) - SCHENECTADY (NY) - TROY (NY)",1228,47,1160,68,37,10,1105,1060,948,901,822,759,697,658,596,539,456,415,355,1254,1353,1489,1544,1627,1679,1850,1905,1989,2071,2154,2234,2259,2315
"108","20200408_ALBANY (NY) - SCHENECTADY (NY) - TROY (NY)",20200408,"ALBANY (NY) - SCHENECTADY (NY) - TROY (NY)",1254,48,1228,26,47,1,1160,1105,1060,948,901,822,759,697,658,596,539,456,415,1353,1489,1544,1627,1679,1850,1905,1989,2071,2154,2234,2259,2315,NA
"109","20200409_ALBANY (NY) - SCHENECTADY (NY) - TROY (NY)",20200409,"ALBANY (NY) - SCHENECTADY (NY) - TROY (NY)",1353,53,1254,99,48,5,1228,1160,1105,1060,948,901,822,759,697,658,596,539,456,1489,1544,1627,1679,1850,1905,1989,2071,2154,2234,2259,2315,NA,NA
"110","20200410_ALBANY (NY) - SCHENECTADY (NY) - TROY (NY)",20200410,"ALBANY (NY) - SCHENECTADY (NY) - TROY (NY)",1489,57,1353,136,53,4,1254,1228,1160,1105,1060,948,901,822,759,697,658,596,539,1544,1627,1679,1850,1905,1989,2071,2154,2234,2259,2315,NA,NA,NA
"111","20200411_ALBANY (NY) - SCHENECTADY (NY) - TROY (NY)",20200411,"ALBANY (NY) - SCHENECTADY (NY) - TROY (NY)",1544,62,1489,55,57,5,1353,1254,1228,1160,1105,1060,948,901,822,759,697,658,596,1627,1679,1850,1905,1989,2071,2154,2234,2259,2315,NA,NA,NA,NA
"112","20200412_ALBANY (NY) - SCHENECTADY (NY) - TROY (NY)",20200412,"ALBANY (NY) - SCHENECTADY (NY) - TROY (NY)",1627,68,1544,83,62,6,1489,1353,1254,1228,1160,1105,1060,948,901,822,759,697,658,1679,1850,1905,1989,2071,2154,2234,2259,2315,NA,NA,NA,NA,NA
"113","20200413_ALBANY (NY) - SCHENECTADY (NY) - TROY (NY)",20200413,"ALBANY (NY) - SCHENECTADY (NY) - TROY (NY)",1679,70,1627,52,68,2,1544,1489,1353,1254,1228,1160,1105,1060,948,901,822,759,697,1850,1905,1989,2071,2154,2234,2259,2315,NA,NA,NA,NA,NA,NA
"114","20200414_ALBANY (NY) - SCHENECTADY (NY) - TROY (NY)",20200414,"ALBANY (NY) - SCHENECTADY (NY) - TROY (NY)",1850,79,1679,171,70,9,1627,1544,1489,1353,1254,1228,1160,1105,1060,948,901,822,759,1905,1989,2071,2154,2234,2259,2315,NA,NA,NA,NA,NA,NA,NA
"115","20200415_ALBANY (NY) - SCHENECTADY (NY) - TROY (NY)",20200415,"ALBANY (NY) - SCHENECTADY (NY) - TROY (NY)",1905,91,1850,55,79,12,1679,1627,1544,1489,1353,1254,1228,1160,1105,1060,948,901,822,1989,2071,2154,2234,2259,2315,NA,NA,NA,NA,NA,NA,NA,NA
"116","20200416_ALBANY (NY) - SCHENECTADY (NY) - TROY (NY)",20200416,"ALBANY (NY) - SCHENECTADY (NY) - TROY (NY)",1989,99,1905,84,91,8,1850,1679,1627,1544,1489,1353,1254,1228,1160,1105,1060,948,901,2071,2154,2234,2259,2315,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117","20200417_ALBANY (NY) - SCHENECTADY (NY) - TROY (NY)",20200417,"ALBANY (NY) - SCHENECTADY (NY) - TROY (NY)",2071,99,1989,82,99,0,1905,1850,1679,1627,1544,1489,1353,1254,1228,1160,1105,1060,948,2154,2234,2259,2315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118","20200418_ALBANY (NY) - SCHENECTADY (NY) - TROY (NY)",20200418,"ALBANY (NY) - SCHENECTADY (NY) - TROY (NY)",2154,100,2071,83,99,1,1989,1905,1850,1679,1627,1544,1489,1353,1254,1228,1160,1105,1060,2234,2259,2315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119","20200419_ALBANY (NY) - SCHENECTADY (NY) - TROY (NY)",20200419,"ALBANY (NY) - SCHENECTADY (NY) - TROY (NY)",2234,114,2154,80,100,14,2071,1989,1905,1850,1679,1627,1544,1489,1353,1254,1228,1160,1105,2259,2315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120","20200420_ALBANY (NY) - SCHENECTADY (NY) - TROY (NY)",20200420,"ALBANY (NY) - SCHENECTADY (NY) - TROY (NY)",2259,116,2234,25,114,2,2154,2071,1989,1905,1850,1679,1627,1544,1489,1353,1254,1228,1160,2315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121","20200421_ALBANY (NY) - SCHENECTADY (NY) - TROY (NY)",20200421,"ALBANY (NY) - SCHENECTADY (NY) - TROY (NY)",2315,120,2259,56,116,4,2234,2154,2071,1989,1905,1850,1679,1627,1544,1489,1353,1254,1228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122","20200311_ALBUQUERQUE (NM) - SANTA FE (NM)",20200311,"ALBUQUERQUE (NM) - SANTA FE (NM)",4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,10,13,17,21,23,28,35,42,58,64,78,91,107
"123","20200312_ALBUQUERQUE (NM) - SANTA FE (NM)",20200312,"ALBUQUERQUE (NM) - SANTA FE (NM)",6,0,4,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,13,17,21,23,28,35,42,58,64,78,91,107,133
"124","20200313_ALBUQUERQUE (NM) - SANTA FE (NM)",20200313,"ALBUQUERQUE (NM) - SANTA FE (NM)",10,0,6,4,0,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,17,21,23,28,35,42,58,64,78,91,107,133,197
"125","20200314_ALBUQUERQUE (NM) - SANTA FE (NM)",20200314,"ALBUQUERQUE (NM) - SANTA FE (NM)",13,0,10,3,0,0,6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,21,23,28,35,42,58,64,78,91,107,133,197,221
"126","20200315_ALBUQUERQUE (NM) - SANTA FE (NM)",20200315,"ALBUQUERQUE (NM) - SANTA FE (NM)",17,0,13,4,0,0,10,6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,23,28,35,42,58,64,78,91,107,133,197,221,251
"127","20200316_ALBUQUERQUE (NM) - SANTA FE (NM)",20200316,"ALBUQUERQUE (NM) - SANTA FE (NM)",21,0,17,4,0,0,13,10,6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,28,35,42,58,64,78,91,107,133,197,221,251,299
"128","20200317_ALBUQUERQUE (NM) - SANTA FE (NM)",20200317,"ALBUQUERQUE (NM) - SANTA FE (NM)",23,0,21,2,0,0,17,13,10,6,4,NA,NA,NA,NA,NA,NA,NA,NA,28,35,42,58,64,78,91,107,133,197,221,251,299,333
"129","20200318_ALBUQUERQUE (NM) - SANTA FE (NM)",20200318,"ALBUQUERQUE (NM) - SANTA FE (NM)",28,0,23,5,0,0,21,17,13,10,6,4,NA,NA,NA,NA,NA,NA,NA,35,42,58,64,78,91,107,133,197,221,251,299,333,377
"130","20200319_ALBUQUERQUE (NM) - SANTA FE (NM)",20200319,"ALBUQUERQUE (NM) - SANTA FE (NM)",35,0,28,7,0,0,23,21,17,13,10,6,4,NA,NA,NA,NA,NA,NA,42,58,64,78,91,107,133,197,221,251,299,333,377,421
"131","20200320_ALBUQUERQUE (NM) - SANTA FE (NM)",20200320,"ALBUQUERQUE (NM) - SANTA FE (NM)",42,0,35,7,0,0,28,23,21,17,13,10,6,4,NA,NA,NA,NA,NA,58,64,78,91,107,133,197,221,251,299,333,377,421,509
"132","20200321_ALBUQUERQUE (NM) - SANTA FE (NM)",20200321,"ALBUQUERQUE (NM) - SANTA FE (NM)",58,0,42,16,0,0,35,28,23,21,17,13,10,6,4,NA,NA,NA,NA,64,78,91,107,133,197,221,251,299,333,377,421,509,565
"133","20200322_ALBUQUERQUE (NM) - SANTA FE (NM)",20200322,"ALBUQUERQUE (NM) - SANTA FE (NM)",64,0,58,6,0,0,42,35,28,23,21,17,13,10,6,4,NA,NA,NA,78,91,107,133,197,221,251,299,333,377,421,509,565,650
"134","20200323_ALBUQUERQUE (NM) - SANTA FE (NM)",20200323,"ALBUQUERQUE (NM) - SANTA FE (NM)",78,0,64,14,0,0,58,42,35,28,23,21,17,13,10,6,4,NA,NA,91,107,133,197,221,251,299,333,377,421,509,565,650,714
"135","20200324_ALBUQUERQUE (NM) - SANTA FE (NM)",20200324,"ALBUQUERQUE (NM) - SANTA FE (NM)",91,0,78,13,0,0,64,58,42,35,28,23,21,17,13,10,6,4,NA,107,133,197,221,251,299,333,377,421,509,565,650,714,820
"136","20200325_ALBUQUERQUE (NM) - SANTA FE (NM)",20200325,"ALBUQUERQUE (NM) - SANTA FE (NM)",107,1,91,16,0,1,78,64,58,42,35,28,23,21,17,13,10,6,4,133,197,221,251,299,333,377,421,509,565,650,714,820,893
"137","20200326_ALBUQUERQUE (NM) - SANTA FE (NM)",20200326,"ALBUQUERQUE (NM) - SANTA FE (NM)",133,1,107,26,1,0,91,78,64,58,42,35,28,23,21,17,13,10,6,197,221,251,299,333,377,421,509,565,650,714,820,893,1032
"138","20200327_ALBUQUERQUE (NM) - SANTA FE (NM)",20200327,"ALBUQUERQUE (NM) - SANTA FE (NM)",197,1,133,64,1,0,107,91,78,64,58,42,35,28,23,21,17,13,10,221,251,299,333,377,421,509,565,650,714,820,893,1032,1148
"139","20200328_ALBUQUERQUE (NM) - SANTA FE (NM)",20200328,"ALBUQUERQUE (NM) - SANTA FE (NM)",221,2,197,24,1,1,133,107,91,78,64,58,42,35,28,23,21,17,13,251,299,333,377,421,509,565,650,714,820,893,1032,1148,1234
"140","20200329_ALBUQUERQUE (NM) - SANTA FE (NM)",20200329,"ALBUQUERQUE (NM) - SANTA FE (NM)",251,2,221,30,2,0,197,133,107,91,78,64,58,42,35,28,23,21,17,299,333,377,421,509,565,650,714,820,893,1032,1148,1234,1312
"141","20200330_ALBUQUERQUE (NM) - SANTA FE (NM)",20200330,"ALBUQUERQUE (NM) - SANTA FE (NM)",299,4,251,48,2,2,221,197,133,107,91,78,64,58,42,35,28,23,21,333,377,421,509,565,650,714,820,893,1032,1148,1234,1312,1428
"142","20200331_ALBUQUERQUE (NM) - SANTA FE (NM)",20200331,"ALBUQUERQUE (NM) - SANTA FE (NM)",333,5,299,34,4,1,251,221,197,133,107,91,78,64,58,42,35,28,23,377,421,509,565,650,714,820,893,1032,1148,1234,1312,1428,1498
"143","20200401_ALBUQUERQUE (NM) - SANTA FE (NM)",20200401,"ALBUQUERQUE (NM) - SANTA FE (NM)",377,6,333,44,5,1,299,251,221,197,133,107,91,78,64,58,42,35,28,421,509,565,650,714,820,893,1032,1148,1234,1312,1428,1498,1586
"144","20200402_ALBUQUERQUE (NM) - SANTA FE (NM)",20200402,"ALBUQUERQUE (NM) - SANTA FE (NM)",421,8,377,44,6,2,333,299,251,221,197,133,107,91,78,64,58,42,35,509,565,650,714,820,893,1032,1148,1234,1312,1428,1498,1586,1705
"145","20200403_ALBUQUERQUE (NM) - SANTA FE (NM)",20200403,"ALBUQUERQUE (NM) - SANTA FE (NM)",509,11,421,88,8,3,377,333,299,251,221,197,133,107,91,78,64,58,42,565,650,714,820,893,1032,1148,1234,1312,1428,1498,1586,1705,1839
"146","20200404_ALBUQUERQUE (NM) - SANTA FE (NM)",20200404,"ALBUQUERQUE (NM) - SANTA FE (NM)",565,12,509,56,11,1,421,377,333,299,251,221,197,133,107,91,78,64,58,650,714,820,893,1032,1148,1234,1312,1428,1498,1586,1705,1839,1952
"147","20200405_ALBUQUERQUE (NM) - SANTA FE (NM)",20200405,"ALBUQUERQUE (NM) - SANTA FE (NM)",650,13,565,85,12,1,509,421,377,333,299,251,221,197,133,107,91,78,64,714,820,893,1032,1148,1234,1312,1428,1498,1586,1705,1839,1952,2006
"148","20200406_ALBUQUERQUE (NM) - SANTA FE (NM)",20200406,"ALBUQUERQUE (NM) - SANTA FE (NM)",714,13,650,64,13,0,565,509,421,377,333,299,251,221,197,133,107,91,78,820,893,1032,1148,1234,1312,1428,1498,1586,1705,1839,1952,2006,2150
"149","20200407_ALBUQUERQUE (NM) - SANTA FE (NM)",20200407,"ALBUQUERQUE (NM) - SANTA FE (NM)",820,14,714,106,13,1,650,565,509,421,377,333,299,251,221,197,133,107,91,893,1032,1148,1234,1312,1428,1498,1586,1705,1839,1952,2006,2150,2272
"150","20200408_ALBUQUERQUE (NM) - SANTA FE (NM)",20200408,"ALBUQUERQUE (NM) - SANTA FE (NM)",893,20,820,73,14,6,714,650,565,509,421,377,333,299,251,221,197,133,107,1032,1148,1234,1312,1428,1498,1586,1705,1839,1952,2006,2150,2272,NA
"151","20200409_ALBUQUERQUE (NM) - SANTA FE (NM)",20200409,"ALBUQUERQUE (NM) - SANTA FE (NM)",1032,21,893,139,20,1,820,714,650,565,509,421,377,333,299,251,221,197,133,1148,1234,1312,1428,1498,1586,1705,1839,1952,2006,2150,2272,NA,NA
"152","20200410_ALBUQUERQUE (NM) - SANTA FE (NM)",20200410,"ALBUQUERQUE (NM) - SANTA FE (NM)",1148,24,1032,116,21,3,893,820,714,650,565,509,421,377,333,299,251,221,197,1234,1312,1428,1498,1586,1705,1839,1952,2006,2150,2272,NA,NA,NA
"153","20200411_ALBUQUERQUE (NM) - SANTA FE (NM)",20200411,"ALBUQUERQUE (NM) - SANTA FE (NM)",1234,25,1148,86,24,1,1032,893,820,714,650,565,509,421,377,333,299,251,221,1312,1428,1498,1586,1705,1839,1952,2006,2150,2272,NA,NA,NA,NA
"154","20200412_ALBUQUERQUE (NM) - SANTA FE (NM)",20200412,"ALBUQUERQUE (NM) - SANTA FE (NM)",1312,30,1234,78,25,5,1148,1032,893,820,714,650,565,509,421,377,333,299,251,1428,1498,1586,1705,1839,1952,2006,2150,2272,NA,NA,NA,NA,NA
"155","20200413_ALBUQUERQUE (NM) - SANTA FE (NM)",20200413,"ALBUQUERQUE (NM) - SANTA FE (NM)",1428,35,1312,116,30,5,1234,1148,1032,893,820,714,650,565,509,421,377,333,299,1498,1586,1705,1839,1952,2006,2150,2272,NA,NA,NA,NA,NA,NA
"156","20200414_ALBUQUERQUE (NM) - SANTA FE (NM)",20200414,"ALBUQUERQUE (NM) - SANTA FE (NM)",1498,41,1428,70,35,6,1312,1234,1148,1032,893,820,714,650,565,509,421,377,333,1586,1705,1839,1952,2006,2150,2272,NA,NA,NA,NA,NA,NA,NA
"157","20200415_ALBUQUERQUE (NM) - SANTA FE (NM)",20200415,"ALBUQUERQUE (NM) - SANTA FE (NM)",1586,41,1498,88,41,0,1428,1312,1234,1148,1032,893,820,714,650,565,509,421,377,1705,1839,1952,2006,2150,2272,NA,NA,NA,NA,NA,NA,NA,NA
"158","20200416_ALBUQUERQUE (NM) - SANTA FE (NM)",20200416,"ALBUQUERQUE (NM) - SANTA FE (NM)",1705,49,1586,119,41,8,1498,1428,1312,1234,1148,1032,893,820,714,650,565,509,421,1839,1952,2006,2150,2272,NA,NA,NA,NA,NA,NA,NA,NA,NA
"159","20200417_ALBUQUERQUE (NM) - SANTA FE (NM)",20200417,"ALBUQUERQUE (NM) - SANTA FE (NM)",1839,56,1705,134,49,7,1586,1498,1428,1312,1234,1148,1032,893,820,714,650,565,509,1952,2006,2150,2272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"160","20200418_ALBUQUERQUE (NM) - SANTA FE (NM)",20200418,"ALBUQUERQUE (NM) - SANTA FE (NM)",1952,58,1839,113,56,2,1705,1586,1498,1428,1312,1234,1148,1032,893,820,714,650,565,2006,2150,2272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"161","20200419_ALBUQUERQUE (NM) - SANTA FE (NM)",20200419,"ALBUQUERQUE (NM) - SANTA FE (NM)",2006,60,1952,54,58,2,1839,1705,1586,1498,1428,1312,1234,1148,1032,893,820,714,650,2150,2272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"162","20200420_ALBUQUERQUE (NM) - SANTA FE (NM)",20200420,"ALBUQUERQUE (NM) - SANTA FE (NM)",2150,62,2006,144,60,2,1952,1839,1705,1586,1498,1428,1312,1234,1148,1032,893,820,714,2272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"163","20200421_ALBUQUERQUE (NM) - SANTA FE (NM)",20200421,"ALBUQUERQUE (NM) - SANTA FE (NM)",2272,70,2150,122,62,8,2006,1952,1839,1705,1586,1498,1428,1312,1234,1148,1032,893,820,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"164","20200320_ALEXANDRIA (LA)",20200320,"ALEXANDRIA (LA)",2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,11,16,22,35,39,52,58,63,82,109,123,131
"165","20200321_ALEXANDRIA (LA)",20200321,"ALEXANDRIA (LA)",3,0,2,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,11,16,22,35,39,52,58,63,82,109,123,131,153
"166","20200322_ALEXANDRIA (LA)",20200322,"ALEXANDRIA (LA)",4,0,3,1,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,16,22,35,39,52,58,63,82,109,123,131,153,155
"167","20200323_ALEXANDRIA (LA)",20200323,"ALEXANDRIA (LA)",11,1,4,7,0,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,22,35,39,52,58,63,82,109,123,131,153,155,170
"168","20200324_ALEXANDRIA (LA)",20200324,"ALEXANDRIA (LA)",16,1,11,5,1,0,4,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,35,39,52,58,63,82,109,123,131,153,155,170,195
"169","20200325_ALEXANDRIA (LA)",20200325,"ALEXANDRIA (LA)",22,1,16,6,1,0,11,4,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,39,52,58,63,82,109,123,131,153,155,170,195,204
"170","20200326_ALEXANDRIA (LA)",20200326,"ALEXANDRIA (LA)",35,1,22,13,1,0,16,11,4,3,2,NA,NA,NA,NA,NA,NA,NA,NA,39,52,58,63,82,109,123,131,153,155,170,195,204,225
"171","20200327_ALEXANDRIA (LA)",20200327,"ALEXANDRIA (LA)",39,1,35,4,1,0,22,16,11,4,3,2,NA,NA,NA,NA,NA,NA,NA,52,58,63,82,109,123,131,153,155,170,195,204,225,236
"172","20200328_ALEXANDRIA (LA)",20200328,"ALEXANDRIA (LA)",52,1,39,13,1,0,35,22,16,11,4,3,2,NA,NA,NA,NA,NA,NA,58,63,82,109,123,131,153,155,170,195,204,225,236,245
"173","20200329_ALEXANDRIA (LA)",20200329,"ALEXANDRIA (LA)",58,1,52,6,1,0,39,35,22,16,11,4,3,2,NA,NA,NA,NA,NA,63,82,109,123,131,153,155,170,195,204,225,236,245,251
"174","20200330_ALEXANDRIA (LA)",20200330,"ALEXANDRIA (LA)",63,1,58,5,1,0,52,39,35,22,16,11,4,3,2,NA,NA,NA,NA,82,109,123,131,153,155,170,195,204,225,236,245,251,258
"175","20200331_ALEXANDRIA (LA)",20200331,"ALEXANDRIA (LA)",82,3,63,19,1,2,58,52,39,35,22,16,11,4,3,2,NA,NA,NA,109,123,131,153,155,170,195,204,225,236,245,251,258,266
"176","20200401_ALEXANDRIA (LA)",20200401,"ALEXANDRIA (LA)",109,6,82,27,3,3,63,58,52,39,35,22,16,11,4,3,2,NA,NA,123,131,153,155,170,195,204,225,236,245,251,258,266,269
"177","20200402_ALEXANDRIA (LA)",20200402,"ALEXANDRIA (LA)",123,4,109,14,6,-2,82,63,58,52,39,35,22,16,11,4,3,2,NA,131,153,155,170,195,204,225,236,245,251,258,266,269,284
"178","20200403_ALEXANDRIA (LA)",20200403,"ALEXANDRIA (LA)",131,5,123,8,4,1,109,82,63,58,52,39,35,22,16,11,4,3,2,153,155,170,195,204,225,236,245,251,258,266,269,284,290
"179","20200404_ALEXANDRIA (LA)",20200404,"ALEXANDRIA (LA)",153,5,131,22,5,0,123,109,82,63,58,52,39,35,22,16,11,4,3,155,170,195,204,225,236,245,251,258,266,269,284,290,295
"180","20200405_ALEXANDRIA (LA)",20200405,"ALEXANDRIA (LA)",155,5,153,2,5,0,131,123,109,82,63,58,52,39,35,22,16,11,4,170,195,204,225,236,245,251,258,266,269,284,290,295,305
"181","20200406_ALEXANDRIA (LA)",20200406,"ALEXANDRIA (LA)",170,5,155,15,5,0,153,131,123,109,82,63,58,52,39,35,22,16,11,195,204,225,236,245,251,258,266,269,284,290,295,305,305
"182","20200407_ALEXANDRIA (LA)",20200407,"ALEXANDRIA (LA)",195,5,170,25,5,0,155,153,131,123,109,82,63,58,52,39,35,22,16,204,225,236,245,251,258,266,269,284,290,295,305,305,308
"183","20200408_ALEXANDRIA (LA)",20200408,"ALEXANDRIA (LA)",204,5,195,9,5,0,170,155,153,131,123,109,82,63,58,52,39,35,22,225,236,245,251,258,266,269,284,290,295,305,305,308,NA
"184","20200409_ALEXANDRIA (LA)",20200409,"ALEXANDRIA (LA)",225,5,204,21,5,0,195,170,155,153,131,123,109,82,63,58,52,39,35,236,245,251,258,266,269,284,290,295,305,305,308,NA,NA
"185","20200410_ALEXANDRIA (LA)",20200410,"ALEXANDRIA (LA)",236,5,225,11,5,0,204,195,170,155,153,131,123,109,82,63,58,52,39,245,251,258,266,269,284,290,295,305,305,308,NA,NA,NA
"186","20200411_ALEXANDRIA (LA)",20200411,"ALEXANDRIA (LA)",245,6,236,9,5,1,225,204,195,170,155,153,131,123,109,82,63,58,52,251,258,266,269,284,290,295,305,305,308,NA,NA,NA,NA
"187","20200412_ALEXANDRIA (LA)",20200412,"ALEXANDRIA (LA)",251,6,245,6,6,0,236,225,204,195,170,155,153,131,123,109,82,63,58,258,266,269,284,290,295,305,305,308,NA,NA,NA,NA,NA
"188","20200413_ALEXANDRIA (LA)",20200413,"ALEXANDRIA (LA)",258,6,251,7,6,0,245,236,225,204,195,170,155,153,131,123,109,82,63,266,269,284,290,295,305,305,308,NA,NA,NA,NA,NA,NA
"189","20200414_ALEXANDRIA (LA)",20200414,"ALEXANDRIA (LA)",266,8,258,8,6,2,251,245,236,225,204,195,170,155,153,131,123,109,82,269,284,290,295,305,305,308,NA,NA,NA,NA,NA,NA,NA
"190","20200415_ALEXANDRIA (LA)",20200415,"ALEXANDRIA (LA)",269,11,266,3,8,3,258,251,245,236,225,204,195,170,155,153,131,123,109,284,290,295,305,305,308,NA,NA,NA,NA,NA,NA,NA,NA
"191","20200416_ALEXANDRIA (LA)",20200416,"ALEXANDRIA (LA)",284,11,269,15,11,0,266,258,251,245,236,225,204,195,170,155,153,131,123,290,295,305,305,308,NA,NA,NA,NA,NA,NA,NA,NA,NA
"192","20200417_ALEXANDRIA (LA)",20200417,"ALEXANDRIA (LA)",290,11,284,6,11,0,269,266,258,251,245,236,225,204,195,170,155,153,131,295,305,305,308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"193","20200418_ALEXANDRIA (LA)",20200418,"ALEXANDRIA (LA)",295,11,290,5,11,0,284,269,266,258,251,245,236,225,204,195,170,155,153,305,305,308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"194","20200419_ALEXANDRIA (LA)",20200419,"ALEXANDRIA (LA)",305,11,295,10,11,0,290,284,269,266,258,251,245,236,225,204,195,170,155,305,308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"195","20200420_ALEXANDRIA (LA)",20200420,"ALEXANDRIA (LA)",305,11,305,0,11,0,295,290,284,269,266,258,251,245,236,225,204,195,170,308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"196","20200421_ALEXANDRIA (LA)",20200421,"ALEXANDRIA (LA)",308,15,305,3,11,4,305,295,290,284,269,266,258,251,245,236,225,204,195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"197","20200321_AMARILLO (TX)",20200321,"AMARILLO (TX)",5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,8,9,12,17,18,25,31,31,56,62,77,93
"198","20200322_AMARILLO (TX)",20200322,"AMARILLO (TX)",5,0,5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,8,9,12,17,18,25,31,31,56,62,77,93,122
"199","20200323_AMARILLO (TX)",20200323,"AMARILLO (TX)",5,0,5,0,0,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,9,12,17,18,25,31,31,56,62,77,93,122,126
"200","20200324_AMARILLO (TX)",20200324,"AMARILLO (TX)",8,0,5,3,0,0,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,12,17,18,25,31,31,56,62,77,93,122,126,139
"201","20200325_AMARILLO (TX)",20200325,"AMARILLO (TX)",9,1,8,1,0,1,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,17,18,25,31,31,56,62,77,93,122,126,139,149
"202","20200326_AMARILLO (TX)",20200326,"AMARILLO (TX)",12,1,9,3,1,0,8,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,18,25,31,31,56,62,77,93,122,126,139,149,192
"203","20200327_AMARILLO (TX)",20200327,"AMARILLO (TX)",17,1,12,5,1,0,9,8,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,18,25,31,31,56,62,77,93,122,126,139,149,192,222
"204","20200328_AMARILLO (TX)",20200328,"AMARILLO (TX)",18,1,17,1,1,0,12,9,8,5,5,5,NA,NA,NA,NA,NA,NA,NA,25,31,31,56,62,77,93,122,126,139,149,192,222,226
"205","20200329_AMARILLO (TX)",20200329,"AMARILLO (TX)",25,1,18,7,1,0,17,12,9,8,5,5,5,NA,NA,NA,NA,NA,NA,31,31,56,62,77,93,122,126,139,149,192,222,226,238
"206","20200330_AMARILLO (TX)",20200330,"AMARILLO (TX)",31,1,25,6,1,0,18,17,12,9,8,5,5,5,NA,NA,NA,NA,NA,31,56,62,77,93,122,126,139,149,192,222,226,238,242
"207","20200331_AMARILLO (TX)",20200331,"AMARILLO (TX)",31,1,31,0,1,0,25,18,17,12,9,8,5,5,5,NA,NA,NA,NA,56,62,77,93,122,126,139,149,192,222,226,238,242,280
"208","20200401_AMARILLO (TX)",20200401,"AMARILLO (TX)",56,1,31,25,1,0,31,25,18,17,12,9,8,5,5,5,NA,NA,NA,62,77,93,122,126,139,149,192,222,226,238,242,280,299
"209","20200402_AMARILLO (TX)",20200402,"AMARILLO (TX)",62,1,56,6,1,0,31,31,25,18,17,12,9,8,5,5,5,NA,NA,77,93,122,126,139,149,192,222,226,238,242,280,299,341
"210","20200403_AMARILLO (TX)",20200403,"AMARILLO (TX)",77,1,62,15,1,0,56,31,31,25,18,17,12,9,8,5,5,5,NA,93,122,126,139,149,192,222,226,238,242,280,299,341,382
